country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iraq,1,8,18,30,53,87,152,391,435,475,719
Iceland,742,1040,1470,1790,2150,2520,12k,19.8k,22.8k,25.6k,27.7k
Israel,3390,5060,7120,7740,8290,10.9k,18.1k,60.7k,85.4k,101k,114k
Italy,7530,11.3k,18.1k,22.6k,30k,38.1k,79.1k,469k,741k,915k,1.23M
Jamaica,68,91,147,203,245,351,354,401,451,426,475
Jordan,86,131,250,294,346,426,669,1060,1030,1090,1390
Japan,70.8k,86.9k,116k,134k,175k,191k,268k,758k,1.48M,2.36M,2.88M
Kazakhstan,57,91,202,296,465,845,4700,22.2k,25.1k,43.7k,62k
Kenya,65,95,229,316,458,619,942,1840,11.2k,13k,12.9k
Kyrgyz Republic,10,8,38,44,82,136,257,639,1080,1860,2770
Cambodia,10,18,44,60,71,158,323,883,1320,2630,3150
Kiribati,0,0,1,1,1,1,3,3,5,1,5
St. Kitts and Nevis,27,72,38,33,61,38,46,162,234,289,331
South Korea,8690,10.4k,13.5k,17k,20.6k,28.5k,36.9k,61.6k,107k,235k,308k
Kuwait,236,370,629,790,956,1280,1580,1960,1710,1840,1770
Lao,3,6,12,17,22,28,57,114,144,224,384
Lebanon,83,160,272,339,454,547,592,813,1200,1420,1840
Liberia,2,1,2,2,4,4,10,9,11,24,31
Libya,7,7,9,36,36,40,926,6170,7350,7120,5090
St. Lucia,8,9,20,23,25,25,33,35,46,55,69
Liechtenstein,137,272,358,429,535,579,661,904,1330,1830,2000
Sri Lanka,72,106,189,238,331,439,1510,6550,8940,7160,8420
Lesotho,1,2,2,4,4,14,18,42,83,134,150
Lithuania,549,757,1340,1880,2210,3440,12.6k,36.9k,51.2k,87.9k,132k
Luxembourg,606,800,1230,1770,2510,3130,6680,25.7k,26.2k,24.7k,28.3k
Latvia,477,673,1140,1430,1820,2600,5760,23.2k,28k,38k,38.6k
"Macao, China",113,145,215,240,297,453,681,1110,1670,2670,3920
St. Martin (French part),0,0,1,2,2,4,12,9,11,,15
Morocco,51,76,113,182,244,328,859,10.1k,10.7k,13.5k,16.2k
Monaco,28,51,82,143,155,208,273,373,412,519,752
Moldova,38,69,130,168,237,361,1850,10.1k,10.6k,12.1k,14.7k
Madagascar,6,9,15,16,27,39,76,126,143,227,286
Maldives,9,11,30,33,41,53,101,209,270,385,578
Mexico,1530,2000,3150,3760,4930,7050,14.8k,23.1k,28.5k,34.6k,41.6k
Marshall Islands,1,3,2,1,2,1,3,6,8,20,61
North Macedonia,41,46,94,135,203,239,971,1040,968,1440,2120
Mali,7,7,14,16,25,39,57,142,201,203,217
Malta,686,849,1090,1110,1250,1570,1470,6600,6990,5460,7450
Myanmar,1,1,5,9,37,55,1090,529,494,663,765
Montenegro,13,17,30,36,43,59,87,139,259,430,487
Mongolia,25,35,81,117,174,225,1340,4760,5360,5450,5690
Northern Mariana Islands,7,12,12,24,24,26,23,14,14,78,93
Mozambique,18,30,45,61,91,130,158,222,349,623,918
Mauritania,6,4,1,2,1,14,14,18,24,33,65
Mauritius,38,55,121,159,239,296,406,480,9930,652,1160
Malawi,3,5,20,23,31,38,90,184,279,305,324
Malaysia,1270,1650,2950,3600,4510,7080,29k,153k,180k,215k,243k
Namibia,14,24,64,74,97,146,185,287,366,366,544
New Caledonia,32,44,83,100,148,214,354,801,945,1330,1560
Niger,3,2,4,5,5,6,5,10,11,20,35
Nigeria,102,155,290,382,528,643,8810,42.5k,36.1k,15k,15.2k
Nicaragua,27,33,64,77,101,136,218,781,448,564,610
Netherlands,34.6k,53.4k,81.3k,95.3k,122k,165k,411k,1.21M,1.73M,2.26M,2.39M
Curaçao,0,0,2,202,227,399,465,507,605,647,735
Norway,7610,11.6k,15.1k,16.3k,18.3k,21.2k,36.7k,76.9k,111k,193k,210k
Nepal,24,35,63,79,99,147,508,4370,5130,5400,6100
Nauru,0,1,0,0,,,1,1,1,,4
New Zealand,6040,8910,12.6k,14.2k,15.7k,18.1k,30.2k,71.8k,86.3k,100k,104k
Oman,62,81,212,281,401,497,573,662,757,908,1190
Pakistan,106,146,240,328,479,680,6450,23.9k,23.2k,13.5k,16.3k
Panama,488,617,877,990,1280,1220,2060,8840,8950,8040,6370
Peru,301,433,731,872,1130,1410,2240,6870,8230,12.5k,15k
Philippines,474,674,1150,1230,1620,2140,4200,9240,9900,12k,12.4k
Palau,0,0,1,3,2,3,3,4,15,13,17
Papua New Guinea,11,18,47,60,88,109,123,262,429,498,
Poland,5900,8660,15.2k,19.7k,25.9k,36.3k,94.6k,248k,616k,782k,954k
Puerto Rico,354,496,609,665,730,1110,1430,941,1230,1350,1460
North Korea,0,0,0,0,,,0,1,,,2
Portugal,1720,2260,3770,4420,5570,9340,32.8k,128k,164k,197k,228k
Paraguay,38,54,96,154,219,271,418,1280,1730,2450,3390
Palestine,14,20,46,60,88,139,472,2440,2140,2610,2570
French Polynesia,17,21,35,42,49,58,72,165,206,302,345
Qatar,115,193,380,486,691,923,963,1090,1100,1240,1250
Romania,790,1230,2640,3520,4910,7160,67.4k,240k,310k,371k,412k
Russia,2440,4130,8250,11.4k,17.3k,46.3k,168k,512k,750k,1.35M,1.92M
Rwanda,9,8,27,44,63,84,149,219,449,900,1060
Saudi Arabia,359,577,1180,1560,2190,2840,3440,5520,5450,6260,7980
Sudan,8,12,16,14,22,29,52,79,193,184,282
Senegal,13,13,28,30,43,92,106,136,272,316,441
Singapore,2700,4810,10.1k,13.8k,13.9k,19.8k,107k,329k,478k,699k,730k
Solomon Islands,1,4,7,9,8,13,23,39,28,38,43
Sierra Leone,3,4,9,7,5,7,11,14,,41,52
El Salvador,84,99,139,175,216,286,331,393,582,608,876
San Marino,30,37,50,69,94,112,156,635,2000,2530,3280
Somalia,0,0,3,2,4,7,11,378,65,132,71
Serbia,54,188,382,484,664,1000,3890,40.7k,48.2k,56.1k,64.6k
South Sudan,,,,,,0,1,2,15,38,46
Sao Tome and Principe,0,1,1,2,2,3,3,8,12,13,7
Suriname,6,10,15,19,37,60,79,115,168,306,4160
Slovak Republic,738,1070,1930,2670,3560,5800,17.6k,37.9k,70.8k,110k,141k
Slovenia,684,1030,1990,2500,3210,4520,11.6k,40.5k,68.5k,88.8k,103k
Sweden,11.3k,16.2k,22.8k,25.8k,30.5k,41.2k,61.6k,137k,189k,264k,339k
Eswatini,5,7,9,11,21,29,29,46,61,107,128
Sint Maarten (Dutch part),0,0,0,12,20,24,28,30,32,33,41
Seychelles,6,14,20,32,36,94,2930,14.9k,25.6k,9410,6020
Syria,6,7,28,26,24,44,110,227,323,386,686
Turks and Caicos Islands,3,8,10,28,31,30,33,28,28,29,30
Chad,1,2,1,2,2,5,5,9,7,11,21
Togo,1,2,3,6,18,22,26,35,61,159,219
Thailand,753,1020,2100,2650,3560,4770,10.1k,40k,66.2k,97.7k,133k
Tajikistan,2,6,9,15,14,43,51,178,249,663,880
Turkmenistan,1,1,3,2,4,12,11,26,35,119,286
Timor-Leste,2,2,1,3,7,11,14,15,37,49,119
Tonga,1,1,3,3,4,11,14,21,18,24,59
Trinidad and Tobago,59,82,142,181,236,369,412,402,391,436,476
Tunisia,66,82,117,170,225,214,1050,2450,3660,3170,3880
Turkey,6250,8690,16.7k,20k,23.1k,28.5k,104k,272k,357k,454k,570k
Tuvalu,,,,,,,,,1,1,3
Tanzania,22,27,46,80,116,169,300,1240,1540,2270,2280
Uganda,9,22,58,66,81,114,156,840,864,973,1570
Ukraine,567,958,1870,2460,3380,6400,85.8k,177k,269k,349k,395k
Uruguay,120,197,285,386,537,635,1060,3790,5430,6260,6680
United States,768k,930k,1.21M,1.36M,1.63M,2.04M,3.69M,9.86M,21.5M,40.7M,46.7M
Uzbekistan,2,8,27,41,73,177,2220,6550,9190,15.2k,16k
St. Vincent and the Grenadines,2,6,10,7,10,13,21,18,10,10,14
Venezuela,201,189,355,443,493,645,4420,8630,7960,6190,5530
British Virgin Islands,17,22,76,260,442,1110,634,10.5k,9860,4120,22.4k
Virgin Islands (U.S.),30,52,68,73,67,57,90,113,92,126,69
Vietnam,202,327,812,1290,1860,3030,26.1k,128k,169k,251k,302k
Vanuatu,10,15,24,35,30,34,46,51,58,105,112
Samoa,5,7,12,14,15,25,29,58,105,93,102
Yemen,5,7,13,24,36,37,39,94,107,129,169
South Africa,2670,4280,7540,9300,12.1k,15.1k,51.6k,538k,695k,840k,855k
Zambia,5,13,28,45,63,90,145,714,715,648,745
Zimbabwe,6,12,47,64,108,162,194,435,673,991,1110
